title,publication_url,institution,institution_url,type,format,price
Bill Brandt: Shadow and Light,http://www.momastore.org/museum/moma/ProductDisplay_Bill%20Brandt%20Shadow%20and%20Light_10451_10001_187633_-1_26683_55161_158388,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,19.99
"Contemporary Chinese Art, Primary Documents",http://www.momastore.org/museum/moma/ProductDisplay_Contemporary%20Chinese%20Art%20Primary%20Documents_10451_10001_187634_-1_26683_55161_64190,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,14.99
"Century of the Child: Growing by Design, 1900-2000",http://www.momastore.org/museum/moma/ProductDisplay_Century%20of%20the%20Child%20Growing%20by%20Design%201900%202000_10451_10001_180544_-1_26683_55161_139048,MoMA,http://www.moma.org/explore/publications,Art and architecture book ,Unspecified,14.99
On Performaivity (Living Collections Catalogue),http://www.walkerart.org/collections/publications/performativity,Walker Art Center,http://www.walkerart.org/collections/publications,Collection catalog ,Website,0
9 Artists If You Are Willing: The Army of the Individuals,http://www.walkerart.org/9-artists,Walker Art Center,http://www.walkerart.org/collections/publications,Online exhibition,Website,0
Open Field: Conversations on the Commons,http://www.walkerart.org/open-field-conversations-on-the-commons,Walker Art Center,http://www.walkerart.org/collections/publications,Art and architecture book ,Website,0
Walker Magazine,http://www.walkerart.org/magazine,Walker Art Center,http://www.walkerart.org/collections/publications,Backlist,Website,0
Architects Web Sites: Henry Ives Cobb (1859-1931),http://www.artic.edu/research/henry-ives-cobb,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
Archiects Web Sites: Allan J. Gelbin Papers,http://www.artic.edu/research/allan-j-gelbin-papers,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
Architects Web Sites: Bruce Goff(1904-1982) Archive ,http://www.artic.edu/research/bruce-goff-archive,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
Architects Web Sites: Bertrand Goldberg (1913-1997) Archive ,http://www.artic.edu/research/bertrand-goldberg-archive,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
Archtects Web Sites: Percier and Fontaine Collection ,http://www.artic.edu/research/percier-and-fontaine-collection,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
Architects Web Sites: Louis H. Sullivan (1856-1924) Collection,http://www.artic.edu/research/louis-sullivan-collection,Art Institute of Chicago,http://www.artic.edu/research,Online exhibition,Website,0
