title,publication_url,institution,institution_url,type,format,price
Essays: Landscapes of the Mind: New Conceptions of Nature,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/78,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: Malevich's Suprematism and Religion,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/211,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
"Essays: Malevich, Painting and Writing: On the Development of a Suprematist Philosophy",http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/207,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: The Message of Brazilian Rituals,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/214,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,Mobi,1.99
Essays: A More Durable Self,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/347,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",2.99
Essays: The New Era in Russian Culture,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/201,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,Mobi,1.99
Essays: Russia! Introduction,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/198,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",2.99
Essays: Russian Art of the First Half of the 19th Century,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/202,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
"Essays: Russian Art of the Second Half of the 19th Century: The Wanderers, Pavel, Tretyakov, and his Gallery",http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/203,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,ePub,1.99
Essays: Six (And a few more) Russian Women of the Avant-Garde Together ,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/333,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays:The Spirit of Bras’lia: Modernity as Experiment and Risk,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/235,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: The Supremus Laboratory-House: Reconstructing the Journal,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/208,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,Mobi,1.99
Essays: Toward a Phenomenology of Brazil's Baroque Modernism,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/234,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Essays: Women of Genius,http://www.guggenheim.org/new-york/exhibitions/publications/essays/items/view/332,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Scholarly article,"ePub, mobi",1.99
Maurizio Cattelan: All Exhibition Catalogue,http://www.guggenheimstore.org/books-and-posters/books/maurizio-cattelan-all-exhibition-catalogue-13450,Guggenheim,http://www.guggenheim.org/new-york/exhibitions/publications,Exhibition catalog,"App, ePub, mobi",14.99
Virtual Library,http://www.getty.edu/publications/virtuallibrary/index.html,Getty,http://www.getty.edu/publications/,Backlist,PDF,0
Photography's Orientalism: New Essays on Colonial Representation,http://www.amazon.com/Photographys-Orientalism-Colonial-Representation-Debates-ebook/dp/B00G0MVD30,Getty,http://www.getty.edu/publications/,Art and architecture book ,"ePub, mobi ", 34.99
"The First Treatise on Museums: Samuel Quiccheberg's Inscriptiones, 1565",http://www.amazon.com/The-First-Treatise-Museums-Inscriptiones-ebook/dp/B00JRULZ1W,Getty,http://www.getty.edu/publications/,Art and architecture book ,"ePub, mobi", 29.99
The Visons of Tondal,https://itunes.apple.com/au/book/the-visions-of-tondal/id567895177,Getty,http://www.getty.edu/publications/,Art and architecture book ,iBooks Author ,9.99
Looking East: Rubens's Encounter with Asia,https://itunes.apple.com/us/book/looking-east/id605969649,Getty,http://www.getty.edu/publications/,Art and architecture book ,iBooks Author ,9.99
The J. Paul Getty Museum Highlights of the Collections,https://itunes.apple.com/app/j.-paul-getty-museum-highlights/id545912794,Getty,http://www.getty.edu/publications/,Collection catalog ,App,0
Ancient Carved Ambers in the J. Paul Getty Museum,http://museumcatalogues.getty.edu/amber/,Getty,http://www.getty.edu/publications/,Collection catalog ,Website,0
Design Cult: 25 Essays on Graphic Design Culture,http://www.cooperhewitt.org/publications/design-cult/,Cooper-Hewitt,http://www.cooperhewitt.org/publications/,Art and architecture book ,"ePub, mobi",2.99
The Miser's Purse,http://www.cooperhewitt.org/publications/the-misers-purse/,Cooper-Hewitt,http://www.cooperhewitt.org/publications/,Art and architecture book ,"ePub, mobi",2.99
Hacking Design,http://www.cooperhewitt.org/publications/hacking-design/,Cooper-Hewitt,http://www.cooperhewitt.org/publications/,Art and architecture book ,"ePub, mobi",2.99
Favelization,http://www.cooperhewitt.org/publications/favelization/,Cooper-Hewitt,http://www.cooperhewitt.org/publications/,Art and architecture book ,"ePub, mobi",2.99
Sargent's Daughters,http://www.artbook.com/ebook-sargents-daughters.html,MFA,http://www.mfashop.com/mfa-publications.html#top,Art and architecture book ,"ePub, mobi",16.49
MFA Highlghts: Arts of Korea,https://itunes.apple.com/us/book/arts-of-korea/id612450736?mt=11,MFA,http://www.mfashop.com/mfa-publications.html#top,Collection catalog ,iBooks Author ,9.99
Musical Instruments ,https://itunes.apple.com/us/book/musical-instruments/id629551271?mt=11,MFA,http://www.mfashop.com/mfa-publications.html#top,Collection catalog ,iBooks Author ,9.99
